task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Plaus,ds003604,ses-7,12.0,-0.012600000605771437,-0.0176272267134751,-0.007572774498067774,14,22123370463.07825
Plaus,ds003604,ses-7,13.0,-0.009484467900178052,-0.013341527518988603,-0.005627408281367501,15,46596896845.34551
Plaus,ds003604,ses-7,14.0,-0.009406280502391196,-0.012437652708931825,-0.006374908295850567,15,98143761559.27098
Plaus,ds003604,ses-7,15.0,-0.010448365378624569,-0.012749961905202112,-0.008146768852047025,30,206713291766.44907
Plaus,ds003604,ses-9,0.0,0.017202766596160206,0.010792470081142386,0.023613063111178025,14,2902570.9709944464
Plaus,ds003604,ses-9,1.0,0.01581411955875709,0.011587560436271767,0.020040678681242416,23,6113480.780310711
Plaus,ds003604,ses-9,2.0,0.01225812639977739,0.009587658617559476,0.014928594181995302,18,12876393.93651883
Plaus,ds003604,ses-9,3.0,0.007930208665076696,0.0031565162763549162,0.012703901053798476,32,27120641.540643267
Plaus,ds003604,ses-9,4.0,-0.010296222158920966,-0.020318935080299007,-0.00027350923754292274,9,57122296.91031942
Plaus,ds003604,ses-9,5.0,-0.008725623151336057,-0.012615482754148664,-0.004835763548523449,9,120312670.31131203
Plaus,ds003604,ses-9,6.0,-0.0006363455709913114,-0.004446712220094061,0.0031740210781114383,9,253406102.70213875
Plaus,ds003604,ses-9,7.0,0.0010547130178406262,-0.0018789582307346783,0.00398838426641593,23,533731424.30078125
Plaus,ds003604,ses-9,8.0,0.003333858571424522,-0.0006496040508864628,0.007317321193735507,9,1124160903.1846583
Plaus,ds003604,ses-9,9.0,0.003208554509036489,-0.0004541835396267707,0.0068712925576997486,9,2367740924.950251
Plaus,ds003604,ses-9,11.0,-0.001635789315858693,-0.0051863433851588115,0.0019147647534414251,14,10503779302.537245
Plaus,ds003604,ses-9,12.0,-0.004454544115170656,-0.009313807430336302,0.0004047191999949889,14,22123370463.07825
Plaus,ds003604,ses-9,13.0,-0.00127237738289948,-0.00550087192451354,0.002956117158714579,15,46596896845.34551
Plaus,ds003604,ses-9,14.0,-0.001693203404973227,-0.004695546240892484,0.0013091394309460303,15,98143761559.27098
Plaus,ds003604,ses-9,15.0,-0.0024020587505779994,-0.004931948069510436,0.00012783056835443708,30,206713291766.44907
Sem,ds002236,ses-11,0.0,0.010571766414877748,-0.004976986716154229,0.026120519545909725,14,2902570.9709944464
Sem,ds002236,ses-11,1.0,0.025807941864978555,0.012023522418562001,0.03959236131139511,23,6113480.780310711
Sem,ds002236,ses-11,2.0,0.031526725632103444,0.014683910231818514,0.04836954103238837,18,12876393.93651883
Sem,ds002236,ses-11,3.0,0.020688959680462835,0.01400796122639104,0.02736995813453463,32,27120641.540643267
Sem,ds002236,ses-11,4.0,0.027578397139810293,0.007909892655866321,0.047246901623754264,9,57122296.91031942
Sem,ds002236,ses-11,5.0,0.03157185511419777,0.01327213863044641,0.04987157159794914,9,120312670.31131203
Sem,ds002236,ses-11,6.0,0.040493552121181386,0.026578723219188118,0.054408381023174655,9,253406102.70213875
Sem,ds002236,ses-11,7.0,0.023789926287787134,0.01529175852334461,0.032288094052229654,23,533731424.30078125
Sem,ds002236,ses-11,8.0,0.008938887067229265,-0.003703147706967133,0.02158092184142566,9,1124160903.1846583
Sem,ds002236,ses-11,9.0,0.012496547658255688,-0.0045911910557373415,0.02958428637224872,9,2367740924.950251
Sem,ds002236,ses-11,11.0,0.012190047787865792,0.003690325584461661,0.020689769991269924,14,10503779302.537245
Sem,ds002236,ses-11,12.0,0.007057677121635337,-0.0028593975974256676,0.016974751840696342,14,22123370463.07825
Sem,ds002236,ses-11,13.0,0.002077233725562673,-0.009323912148423624,0.013478379599548972,15,46596896845.34551
Sem,ds002236,ses-11,14.0,0.00516656624917952,-0.006297257938577685,0.016630390436936725,15,98143761559.27098
Sem,ds002236,ses-11,15.0,0.0049491621526175904,-0.0016376462561804245,0.011535970561415605,30,206713291766.44907
Sem,ds002236,ses-11+,0.0,0.004610785754237794,-0.011926363907216648,0.021147935415692234,14,2902570.9709944464
Sem,ds002236,ses-11+,1.0,0.009948506717954995,-0.0007848786301217735,0.020681892066031764,23,6113480.780310711
Sem,ds002236,ses-11+,2.0,0.010652739975484516,-0.004299846629985185,0.025605326580954216,18,12876393.93651883
Sem,ds002236,ses-11+,3.0,0.0066010233712748,-0.0022009040108907623,0.015402950753440363,32,27120641.540643267
Sem,ds002236,ses-11+,4.0,0.015816706906215755,0.0028867502723727203,0.028746663540058788,9,57122296.91031942
Sem,ds002236,ses-11+,5.0,0.021217873257748956,0.0027883475008446193,0.03964739901465329,9,120312670.31131203
Sem,ds002236,ses-11+,6.0,0.015261276773813769,0.0028118424420912353,0.0277107111055363,9,253406102.70213875
Sem,ds002236,ses-11+,7.0,0.005777239067999404,-0.005586250067993139,0.017140728203991946,23,533731424.30078125
