dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-9,96,0.0356833446930623,0.0130970174221321,0.0238770044215605,96,0.2555744517777938,0.4415161758890461,9,9,0.1396201554765997,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-9,96,0.0500995508787407,0.018364197846061,0.0332929274271443,96,0.2555744517777938,0.4415161758890461,9,9,0.1960272262358178,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-9,96,0.0466922347239243,0.0192503796607222,0.0310765672681374,96,0.2555744517777938,0.4415161758890461,9,9,0.1826952357684027,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-9,96,0.051741627568328,0.0232914341036998,0.0345990002424354,96,0.2555744517777938,0.4415161758890461,9,9,0.202452268638002,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-9,96,0.0530080208311879,0.0239597815724984,0.0352922501471929,96,0.2555744517777938,0.4415161758890461,9,9,0.20740735414850894,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-9,96,0.0533030845593143,0.0245921920142959,0.0355333387207875,96,0.2555744517777938,0.4415161758890461,9,9,0.2085618659789126,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Sem,ses-11,48,0.0374911200713835,0.0203513378924691,0.0249611407930424,48,0.3901861494567716,0.5424473076996204,8,8,0.09608521502769823,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Sem,ses-11,48,0.0152677667090102,-0.00200500851371,0.0102261070940864,48,0.3901861494567716,0.5424473076996204,8,8,0.039129443037038664,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Sem,ses-11,48,0.0119409131477055,0.0092209022319477,0.0077907203584486,48,0.3901861494567716,0.5424473076996204,8,8,0.03060311895829717,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Sem,ses-11,48,0.0127075346525612,0.0143290157021043,0.0083445033887745,48,0.3901861494567716,0.5424473076996204,8,8,0.03256787733304475,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Sem,ses-11,48,0.0203379147798081,0.0292045699540679,0.01392323812041,48,0.3901861494567716,0.5424473076996204,8,8,0.05212362050299102,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Sem,ses-11,48,0.0136319351588252,0.0193171396980839,0.0090524646491344,48,0.3901861494567716,0.5424473076996204,8,8,0.034937004242216116,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Sem,ses-11,48,0.0136815070786678,0.0195004593374677,0.0090713436160773,48,0.3901861494567716,0.5424473076996204,8,8,0.03506405108873185,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Sem,ses-11,48,0.0135252414045476,0.0200863657334559,0.0089486303309482,48,0.3901861494567716,0.5424473076996204,8,8,0.03466356102946717,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Sem,ses-11,48,0.0115484011981472,0.0184676247701372,0.0076994720182244,48,0.3901861494567716,0.5424473076996204,8,8,0.029597158213394342,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Sem,ses-11+,48,0.0134128036953144,-0.0001064681919486,0.0092003498901873,48,0.4363337464720812,0.5065254732386439,21,21,0.03073978073839544,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Sem,ses-11+,48,0.0043996688338238,-0.0186922452266545,0.0031873989188644,48,0.4363337464720812,0.5065254732386439,21,21,0.010083265090992251,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Sem,ses-11+,48,0.0006149459781454,-0.0067954619705021,-0.0001352992630909,48,0.4363337464720812,0.5065254732386439,21,21,0.0014093477369501314,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Sem,ses-11+,48,-0.0005775642858505,-0.0061222072427115,-0.0011484704890281,48,0.4363337464720812,0.5065254732386439,21,21,-0.001323675490425207,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Sem,ses-11+,48,0.0094868815510036,0.0067786187704312,0.0060160974658133,48,0.4363337464720812,0.5065254732386439,21,21,0.021742259515126955,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Sem,ses-11+,48,0.0045355004090916,-0.0021903112322221,0.003165373457431,48,0.4363337464720812,0.5065254732386439,21,21,0.010394567107776533,134601216.0,ds002236/Sem/ses-11+
