file,task,variant,n_stim,effective_rank,rsa_vs_duration,p_perm,rsa_vs_amplitude
sub-5357_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.04164151151565329,0.2448775612193903,0.46791719553476235
sub-5357_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.0344983431154363,0.22788605697151423,0.42143719702164084
sub-5365_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06053418786926706,0.08995502248875563,0.7445908915796275
sub-5365_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06053418786926706,0.08995502248875563,0.7445908915796275
sub-5365_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.03895242337866624,0.17791104447776113,0.13922778662332805
sub-5365_ses-7_run-02_patterns.npz,Gram,raw,40,4,-0.029534228918462687,0.4332833583208396,0.3102154241643294
sub-5365_ses-7_run-02_patterns.npz,Gram,mean_removed,40,4,-0.029534228918462687,0.4332833583208396,0.3102154241643294
sub-5365_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.03086089229388944,0.3098450774612694,0.22874689901756023
sub-5367_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.07251647653039066,0.05747126436781609,0.09265994090163755
sub-5367_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.07251647653039066,0.05747126436781609,0.09265994090163755
sub-5367_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.008823934172156399,0.7876061969015492,0.4196812643322253
sub-5367_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.01780106923678442,0.6441779110444777,0.37703225375756066
sub-5367_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.01780106923678442,0.6441779110444777,0.37703225375756066
sub-5367_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.030958892520930183,0.31084457771114443,0.26117850039454116
